MAT,,,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437
MT,,,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 404.041]","(404.041, 2235.62]","(2235.62, 9286.92]","(9286.92, 18928.2]","(18928.2, 27147.8]","(27147.8, 139501.0]","(139501.0, 823498.0]","(823498.0, 1356840.0]","(1356840.0, 2977800.0]","(2977800.0, 6069220.0]","(6069220.0, 20000000.0]","(1e-05, 404.041]","(404.041, 2235.62]","(2235.62, 9286.92]","(9286.92, 18928.2]","(18928.2, 27147.8]","(27147.8, 139501.0]","(139501.0, 823498.0]","(823498.0, 1356840.0]","(1356840.0, 2977800.0]","(2977800.0, 6069220.0]","(6069220.0, 20000000.0]","(1e-05, 404.041]","(404.041, 2235.62]","(2235.62, 9286.92]","(9286.92, 18928.2]","(18928.2, 27147.8]","(27147.8, 139501.0]","(139501.0, 823498.0]","(823498.0, 1356840.0]","(1356840.0, 2977800.0]","(2977800.0, 6069220.0]","(6069220.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9437,18,"(404.041, 2235.62]",0.0003155789,0.0002173449,1.575375e-05,-3.609656e-06,-3.623767e-06,-3.937928e-06,-3.363059e-06,-2.994574e-06,-3.759276e-06,-2.432e-06,-2.576057e-06,0.0009982812,0.001057249,8.530877e-05,3.215974e-06,2.421834e-06,3.314667e-06,2.131303e-06,-4.636143e-08,1.156764e-06,7.228824e-07,1.326642e-06,7.232791e-05,0.0003496979,3.109911e-05,-1.527742e-05,-1.72587e-05,-1.767919e-05,-4.496611e-06,6.207046e-06,7.42651e-06,2.520259e-05,-1.730346e-06
9437,18,"(2235.62, 9286.92]",4.387023e-05,2.414597e-05,-6.365978e-05,-6.376516e-05,-6.370806e-05,-7.012552e-05,-6.0506e-05,-5.005239e-05,-5.939136e-05,-3.560079e-05,-4.157717e-05,7.343752e-05,8.530877e-05,0.0001535169,9.16275e-05,7.471848e-05,8.761008e-05,4.574201e-05,7.838382e-07,2.662859e-05,1.113575e-05,2.845309e-05,2.814729e-05,3.898132e-05,-0.0002606526,-0.000343526,-0.0003859745,-0.0003948618,-4.906825e-05,0.0002863963,0.0003704294,0.0008464897,-6.695631e-06
9437,18,"(9286.92, 18928.2]",0.0,2.491937e-06,3.62204e-05,4.460156e-05,4.594781e-05,4.644332e-05,3.727275e-05,4.802922e-05,7.363383e-05,5.862681e-05,4.704387e-05,0.0,3.215974e-06,9.16275e-05,9.461629e-05,9.330275e-05,7.109916e-05,3.933367e-06,6.036903e-06,9.204872e-06,-1.605529e-05,1.952065e-06,0.0,-6.94038e-06,-0.0001007562,-9.761096e-05,-0.0001022219,-0.0001029627,0.0001766223,0.0006178551,0.0008485623,0.001264305,0.000115203
9437,18,"(18928.2, 27147.8]",0.0,4.52214e-06,6.319934e-05,7.288532e-05,7.455357e-05,7.689503e-05,6.285002e-05,7.346569e-05,0.0001079662,8.281697e-05,6.995212e-05,0.0,2.421834e-06,7.471848e-05,9.330275e-05,9.624124e-05,6.505158e-05,-7.661835e-06,7.184529e-06,4.23479e-06,-2.318562e-05,-5.45035e-06,0.0,-4.147677e-06,-5.351566e-05,-2.946151e-05,-2.383988e-05,-2.24163e-05,0.0002346442,0.0006966181,0.0009628967,0.001355361,0.0001459911
9437,18,"(27147.8, 139501.0]",0.0,-6.649895e-07,-6.584199e-06,-2.095961e-06,-1.509433e-06,-3.396828e-06,-4.139696e-06,3.78026e-06,1.144893e-05,1.28533e-05,6.162163e-06,0.0,3.314667e-06,8.761008e-05,7.109916e-05,6.505158e-05,6.016547e-05,1.891286e-05,4.75803e-06,1.430476e-05,-8.440882e-07,1.272869e-05,0.0,-8.35679e-06,-0.0001294381,-0.0001522859,-0.0001678836,-0.0001709174,5.32879e-05,0.000339615,0.0004591232,0.0007798804,4.457064e-05
9437,18,"(139501.0, 823498.0]",0.0,-5.7163e-06,-7.601403e-05,-7.985723e-05,-8.076312e-05,-8.572297e-05,-7.212541e-05,-7.24762e-05,-9.857634e-05,-7.032689e-05,-6.545278e-05,0.0,2.131303e-06,4.574201e-05,3.933367e-06,-7.661835e-06,1.891286e-05,4.357253e-05,6.686119e-06,2.123217e-05,3.144171e-05,3.27444e-05,0.0,-6.861761e-06,-0.0001175783,-0.00017156,-0.0001973366,-0.0002017863,-0.0001996777,-0.0003392263,-0.000479576,-0.0005040233,-0.0001020719
9437,18,"(823498.0, 1356840.0]",0.0,6.2158e-07,8.446292e-06,9.177473e-06,9.333119e-06,9.949268e-06,8.077246e-06,8.144565e-06,1.118317e-05,7.703855e-06,7.584891e-06,0.0,-4.636143e-08,7.838382e-07,6.036903e-06,7.184529e-06,4.75803e-06,6.686119e-06,9.842652e-06,6.68145e-06,7.388955e-06,8.006981e-06,0.0,9.107704e-07,1.545721e-05,2.403102e-05,2.824581e-05,2.975309e-05,-1.002646e-06,-2.593124e-05,-3.172157e-05,-7.286618e-05,4.050236e-06
9437,18,"(1356840.0, 2977800.0]",0.0,-2.254955e-06,-2.975771e-05,-3.078579e-05,-3.107551e-05,-3.316749e-05,-2.815348e-05,-2.75924e-05,-3.674e-05,-2.578941e-05,-2.448154e-05,0.0,1.156764e-06,2.662859e-05,9.204872e-06,4.23479e-06,1.430476e-05,2.123217e-05,6.68145e-06,1.307422e-05,1.566469e-05,1.658487e-05,0.0,-3.406703e-06,-5.707591e-05,-7.979027e-05,-9.113562e-05,-9.322295e-05,-7.273407e-05,-0.0001020756,-0.0001462036,-0.0001261151,-3.46021e-05
9437,18,"(2977800.0, 6069220.0]",0.0,-4.225561e-06,-5.683027e-05,-6.107794e-05,-6.194899e-05,-6.523401e-05,-5.460476e-05,-5.724252e-05,-7.959765e-05,-5.82417e-05,-5.237114e-05,0.0,7.228824e-07,1.113575e-05,-1.605529e-05,-2.318562e-05,-8.440882e-07,3.144171e-05,7.388955e-06,1.566469e-05,2.858978e-05,2.602303e-05,0.0,-2.825252e-06,-5.249398e-05,-8.722905e-05,-0.0001024585,-0.0001049325,-0.0001737187,-0.0003724647,-0.0005198682,-0.0006391341,-9.272138e-05
9437,18,"(6069220.0, 20000000.0]",0.0,-3.769163e-06,-5.016243e-05,-5.283214e-05,-5.344934e-05,-5.661634e-05,-4.763534e-05,-4.82723e-05,-6.605624e-05,-4.754079e-05,-4.371716e-05,0.0,1.326642e-06,2.845309e-05,1.952065e-06,-5.45035e-06,1.272869e-05,3.27444e-05,8.006981e-06,1.658487e-05,2.602303e-05,3.128941e-05,0.0,-4.036554e-06,-7.003433e-05,-0.0001036366,-0.0001193339,-0.000121606,-0.0001469506,-0.0002747545,-0.0003853956,-0.0004410743,-7.413132e-05
9437,102,"(1e-05, 404.041]",0.003856291,0.001397872,0.000127386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000100816,7.232791e-05,2.814729e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004643864,0.003161932,0.0003837255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,102,"(404.041, 2235.62]",0.002702716,0.001180111,0.0001273722,1.504589e-05,1.51638e-05,1.632336e-05,1.382179e-05,1.298048e-05,1.687998e-05,1.139145e-05,1.142167e-05,0.000188794,0.0003496979,3.898132e-05,-6.94038e-06,-4.147677e-06,-8.35679e-06,-6.861761e-06,9.107704e-07,-3.406703e-06,-2.825252e-06,-4.036554e-06,0.003161932,0.002630198,0.0003757502,5.114109e-05,5.819709e-05,5.976309e-05,2.23499e-05,4.587612e-07,4.841824e-06,-4.42426e-05,1.076502e-05
9437,102,"(2235.62, 9286.92]",0.0003278967,0.0001714979,0.0002735831,0.0002644433,0.0002666748,0.0002864947,0.0002422177,0.0002300229,0.0003013133,0.0002051402,0.0002033356,2.328943e-05,3.109911e-05,-0.0002606526,-0.0001007562,-5.351566e-05,-0.0001294381,-0.0001175783,1.545721e-05,-5.707591e-05,-5.249398e-05,-7.003433e-05,0.0003837255,0.0003757502,0.0006665692,0.0008497217,0.0009684985,0.0009948559,0.0004188563,0.0001400697,0.0002632976,-0.0004818203,0.0002070296
9437,102,"(9286.92, 18928.2]",0.0,2.996097e-05,0.0003957903,0.0004095302,0.0004134899,0.0004426664,0.0003731984,0.0003611741,0.0004789722,0.0003307107,0.0003217507,0.0,-1.527742e-05,-0.000343526,-9.761096e-05,-2.946151e-05,-0.0001522859,-0.00017156,2.403102e-05,-7.979027e-05,-8.722905e-05,-0.0001036366,0.0,5.114109e-05,0.0008497217,0.001185684,0.001356137,0.001394,0.0007106525,0.0005497638,0.0008585837,5.524751e-06,0.000365473
