MAT,,,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437,9437
MT,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
E,,,"(1e-05, 8.31529]","(8.31529, 55.3314]","(55.3314, 172.563]","(172.563, 468.471]","(468.471, 954.816]","(954.816, 1461.03]","(1461.03, 1807.29]","(1807.29, 3966.37]","(3966.37, 5533.14]","(5533.14, 8704.8]","(8704.8, 15301.7]","(15301.7, 23414.1]","(23414.1, 47721.6]","(47721.6, 104732.0]","(104732.0, 264050.0]","(264050.0, 306157.0]","(306157.0, 468471.0]","(468471.0, 823498.0]","(823498.0, 2095490.0]","(2095490.0, 3420870.0]","(3420870.0, 6535230.0]","(6535230.0, 20000000.0]","(1e-05, 8.31529]","(8.31529, 55.3314]","(55.3314, 172.563]","(172.563, 468.471]","(468.471, 954.816]","(954.816, 1461.03]","(1461.03, 1807.29]","(1807.29, 3966.37]","(3966.37, 5533.14]","(5533.14, 8704.8]","(8704.8, 15301.7]","(15301.7, 23414.1]","(23414.1, 47721.6]","(47721.6, 104732.0]","(104732.0, 264050.0]","(264050.0, 306157.0]","(306157.0, 468471.0]","(468471.0, 823498.0]","(823498.0, 2095490.0]","(2095490.0, 3420870.0]","(3420870.0, 6535230.0]","(6535230.0, 20000000.0]","(1e-05, 8.31529]","(8.31529, 55.3314]","(55.3314, 172.563]","(172.563, 468.471]","(468.471, 954.816]","(954.816, 1461.03]","(1461.03, 1807.29]","(1807.29, 3966.37]","(3966.37, 5533.14]","(5533.14, 8704.8]","(8704.8, 15301.7]","(15301.7, 23414.1]","(23414.1, 47721.6]","(47721.6, 104732.0]","(104732.0, 264050.0]","(264050.0, 306157.0]","(306157.0, 468471.0]","(468471.0, 823498.0]","(823498.0, 2095490.0]","(2095490.0, 3420870.0]","(3420870.0, 6535230.0]","(6535230.0, 20000000.0]"
MAT,MT,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9437,2,"(1461.03, 1807.29]",0.0007163463,0.001643386,0.002197196,0.002267284,0.00155937,0.001371995,0.00182284,0.0005983494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.930626e-05,0.0001711802,0.000149692,0.0001925301,0.0002711348,0.000231251,0.000270365,0.0001386379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005280777,0.001838492,0.001810123,0.001721996,0.001408248,0.001387496,0.00207469,0.0009801629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9437,2,"(1807.29, 3966.37]",0.0001937984,0.0005416219,0.0007475513,0.0007637688,0.000510805,0.0004433298,0.0005983494,0.0003074197,0.000153739,0.000151535,0.0001519213,0.0001534003,0.0001584725,0.0001650522,0.0001593643,0.0001527653,0.0001387894,0.0001208056,0.0001749849,0.000182411,0.0001306241,0.0001270396,1.211353e-05,6.409488e-05,5.787033e-05,7.271069e-05,9.839801e-05,8.660178e-05,9.968864e-05,-2.939206e-06,-6.969136e-05,-3.776816e-05,1.096527e-05,4.33099e-05,4.361833e-05,-7.826498e-07,-5.659509e-05,-6.489188e-05,-7.443724e-05,-4.673045e-05,-6.77189e-06,-2.899346e-05,-4.328632e-05,-3.720437e-05,0.0001889625,0.0006560829,0.0006422958,0.000609322,0.0004953563,0.0004913284,0.0007301296,0.0004666629,0.0001989151,0.0002208892,0.0002742064,0.0003338825,0.00036884,0.000358899,0.000308057,0.0002996897,0.000330117,0.0004101711,0.0006795478,0.0009812202,0.0007980602,0.0001894984
9437,2,"(3966.37, 5533.14]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000153739,0.0002230158,0.0002198297,0.0002204355,0.0002226078,0.0002299398,0.0002394688,0.0002311889,0.0002216029,0.00020134,0.0001752853,0.0002540658,0.0002649287,0.0001897753,0.0001844513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.684434e-05,-9.964515e-05,-5.344344e-05,1.705098e-05,6.383624e-05,6.424716e-05,-1.883114e-07,-8.149864e-05,-9.368826e-05,-0.0001077562,-6.768563e-05,-9.726763e-06,-4.182343e-05,-6.28789e-05,-5.382638e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001654693,0.0002865814,0.0003184301,0.0003957147,0.0004820889,0.000532524,0.0005179324,0.0004458852,0.0004343224,0.0004798299,0.0005981405,0.0009920076,0.001431595,0.001170254,0.0002756452
9437,2,"(5533.14, 8704.8]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000151535,0.0002198297,0.00021682,0.0002174994,0.00021967,0.0002269138,0.0002362686,0.0002280158,0.0002185446,0.000198544,0.0001729445,0.0002510391,0.0002619256,0.0001877715,0.0001822653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.356449e-05,-9.503975e-05,-4.97318e-05,1.933034e-05,6.51776e-05,6.547317e-05,1.892462e-06,-7.908375e-05,-9.14565e-05,-0.000105798,-6.657453e-05,-9.419752e-06,-4.07492e-05,-6.223938e-05,-5.283095e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001604264,0.0002781778,0.000309476,0.0003855324,0.000470237,0.0005193696,0.0005046165,0.0004375274,0.0004274636,0.000475574,0.0005973346,0.0009927812,0.001430627,0.001182847,0.0002735458
9437,2,"(8704.8, 15301.7]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001519213,0.0002204355,0.0002174994,0.0002184144,0.0002206511,0.000227915,0.0002372352,0.0002287931,0.000219253,0.0001992029,0.0001736671,0.0002526942,0.0002639107,0.0001894506,0.0001834801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.005302e-05,-8.990507e-05,-4.48446e-05,2.366977e-05,6.916755e-05,6.931812e-05,5.432648e-06,-7.716781e-05,-9.017312e-05,-0.0001054011,-6.652747e-05,-9.170892e-06,-4.004801e-05,-6.286124e-05,-5.259911e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001562355,0.0002714586,0.0003027143,0.0003787546,0.0004629991,0.0005111813,0.0004957646,0.0004352563,0.0004274104,0.0004812637,0.0006120688,0.001020905,0.001467903,0.001236163,0.0002773934
9437,2,"(15301.7, 23414.1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001534003,0.0002226078,0.00021967,0.0002206511,0.000222958,0.0002302906,0.0002396711,0.0002311141,0.0002214618,0.000201193,0.0001754583,0.0002555187,0.0002669518,0.0001917047,0.0001855384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.944742e-05,-8.890618e-05,-4.35457e-05,2.537492e-05,7.11734e-05,7.12635e-05,6.709412e-06,-7.717949e-05,-9.050907e-05,-0.000106162,-6.707607e-05,-9.151123e-06,-4.015231e-05,-6.361877e-05,-5.296829e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001562244,0.0002715731,0.000303107,0.0003798182,0.000464648,0.0005129637,0.0004972272,0.0004383245,0.0004311464,0.000487407,0.0006224005,0.001039357,0.001493406,0.001265082,0.0002811545
9437,2,"(23414.1, 47721.6]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001584725,0.0002299398,0.0002269138,0.000227915,0.0002302906,0.0002378888,0.0002475781,0.0002387357,0.0002287647,0.000207828,0.0001812344,0.000263902,0.0002757043,0.0001979712,0.0001916181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.193605e-05,-9.211593e-05,-4.523374e-05,2.60076e-05,7.333542e-05,7.342632e-05,6.744754e-06,-7.981573e-05,-9.354502e-05,-0.0001096586,-6.926348e-05,-9.451585e-06,-4.151008e-05,-6.566851e-05,-5.470641e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001616266,0.0002809578,0.0003135666,0.0003928163,0.0004805115,0.0005304722,0.00051423,0.000452965,0.0004454039,0.000503115,0.0006419759,0.001071859,0.001540351,0.001303256,0.0002902231
9437,2,"(47721.6, 104732.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001650522,0.0002394688,0.0002362686,0.0002372352,0.0002396711,0.0002475781,0.000257732,0.0002485688,0.0002381959,0.0002163957,0.0001886491,0.0002744413,0.0002865918,0.0002056914,0.0001992665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.644183e-05,-9.814392e-05,-4.915342e-05,2.535148e-05,7.484476e-05,7.498897e-05,5.587351e-06,-8.393014e-05,-9.795677e-05,-0.0001143556,-7.211493e-05,-9.896517e-06,-4.353019e-05,-6.810822e-05,-5.701913e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001703003,0.0002957958,0.0003297936,0.0004124996,0.0005041222,0.0005566705,0.0005400691,0.0004731524,0.0004642379,0.0005217285,0.0006622935,0.001104343,0.001588666,0.001333979,0.0003008123
9437,2,"(104732.0, 264050.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001593643,0.0002311889,0.0002280158,0.0002287931,0.0002311141,0.0002387357,0.0002485688,0.000239886,0.0002299055,0.0002088374,0.0001819412,0.0002642055,0.0002756774,0.0001976552,0.0001918153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.658216e-05,-9.878007e-05,-5.11846e-05,2.133174e-05,6.945576e-05,6.971031e-05,2.807517e-06,-8.244441e-05,-9.548286e-05,-0.0001106091,-6.953637e-05,-9.633679e-06,-4.2562e-05,-6.519016e-05,-5.505231e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001680769,0.0002914958,0.0003244594,0.000404518,0.0004936157,0.0005452838,0.0005298126,0.0004593418,0.0004487491,0.0004993282,0.0006273882,0.001043578,0.001504101,0.001243501,0.0002876449
9437,2,"(264050.0, 306157.0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001527653,0.0002216029,0.0002185446,0.000219253,0.0002214618,0.0002287647,0.0002381959,0.0002299055,0.0002203647,0.0002001669,0.0001743569,0.0002530872,0.0002640192,0.0001892508,0.0001837369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.406882e-05,-9.564149e-05,-4.995619e-05,1.968877e-05,6.589633e-05,6.616708e-05,2.055693e-06,-7.942548e-05,-9.182664e-05,-0.00010619,-6.674477e-05,-9.329619e-06,-4.098037e-05,-6.245255e-05,-5.287271e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001619081,0.0002806969,0.0003123088,0.0003890789,0.0004745995,0.0005243198,0.0005095685,0.0004409015,0.000430369,0.000477929,0.0005992773,0.0009961469,0.001436205,0.001183595,0.0002751892
